Fund Code,Fund Name,ISIN Code 1,ISIN Code 2,NAV,Unknown1,Unknown2,Date
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.22,,,07-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.18,,,09-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.09,,,10-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.16,,,11-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.20,,,14-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.22,,,15-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.19,,,16-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.13,,,17-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.11,,,18-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.03,,,21-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.04,,,22-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.07,,,23-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.18,,,24-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.20,,,25-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.23,,,28-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.24,,,29-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.31,,,30-Nov-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.40,,,01-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.41,,,02-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.43,,,05-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.37,,,06-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.31,,,07-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.35,,,08-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.26,,,09-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.27,,,12-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.30,,,13-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.36,,,14-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.24,,,15-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.15,,,16-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.20,,,19-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.17,,,20-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.09,,,21-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.01,,,22-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,9.78,,,23-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,9.93,,,26-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.02,,,27-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.01,,,28-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.03,,,29-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.05,,,30-Dec-2022
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.08,,,02-Jan-2023
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,10.09,,,03-Jan-2023
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,9.99,,,04-Jan-2023
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,9.95,,,05-Jan-2023
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,,9.85,,,06-Jan-2023
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.22,,,07-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.18,,,09-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.09,,,10-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.16,,,11-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.20,,,14-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.22,,,15-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.19,,,16-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.13,,,17-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.10,,,18-Nov-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.03,,,21-Nov-2022
